0,3
1,4
2,2
3,4
4,3
5,1
6,3
7,1
8,2
9,1
10,3
11,2
12,2
13,2
14,3
15,2
16,1
17,4
18,3
20,3
21,2
22,4
23,2
24,2
25,2
26,4
27,3
28,3
29,3
30,3
31,4
32,4
33,3
34,2
36,4
37,2
38,2
39,2
40,2
41,1
42,2
43,1
44,2
45,1
46,4
47,4
48,4
49,1
50,3
51,3
52,1
53,2
54,2
55,1
56,4
57,4
58,4
59,3
60,3
61,3
62,1
63,4
64,1
65,2
66,2
67,2
68,1
69,3
70,3
71,2
72,3
73,1
74,1
75,3
76,1
77,4
78,4
79,3
80,1
81,1
82,2
83,2
84,3
85,2
86,4
87,4
88,2
89,2
90,3
91,2
92,3
93,1
94,3
95,3
96,4
97,3
98,1
99,4
100,2
101,2
102,4
103,3
104,3
105,4
106,2
107,3
108,2
109,3
110,3
111,4
112,4
113,2
114,1
115,2
116,3
117,1
118,3
119,2
120,3
121,3
122,1
123,1
124,2
125,4
126,1
127,2
128,1
129,2
130,1
131,4
132,3
133,4
134,1
135,1
136,2
137,3
138,3
139,4
140,1
141,2
142,2
143,3
144,2
145,2
146,4
147,3
148,3
149,3
150,1
151,4
152,4
153,3
154,2
155,3
156,2
157,3
158,2
159,1
160,2
161,3
162,4
163,4
164,3
165,1
166,3
167,2
168,1
169,3
170,4
171,2
172,2
173,2
174,2
175,3
176,3
177,2
178,2
179,3
180,1
181,1
182,3
183,3
184,3
185,4
186,2
187,2
188,4
189,2
190,4
191,2
192,3
194,1
195,2
196,4
197,3
198,2
199,1
200,2
201,3
202,2
203,4
204,3
205,3
206,2
207,4
208,2
209,1
210,3
211,3
212,3
213,2
214,2
215,3
216,3
217,4
218,4
219,4
221,3
222,4
223,3
224,3
225,1
226,2
227,4
228,1
229,3
230,1
231,3
232,4
233,2
234,3
235,2
236,4
237,4
238,3
239,2
240,1
241,3
242,4
243,1
244,3
245,3
246,2
247,1
248,1
249,3
250,2
251,2
252,4
253,2
254,3
255,2
256,2
257,3
258,4
259,1
260,2
261,3
262,3
263,3
264,4
265,4
266,3
267,4
268,3
269,3
270,2
271,4
272,1
273,4
274,4
275,2
276,3
277,4
