"city","state","geo.id","area_KM"
"Laredo","TX","1600000US4841464",240.18777
"Las Vegas","NV","1600000US3240000",348.9137748
"Lexington-Fayette","KY","1600000US2146027",731.7587739
"Lincoln","NE","1600000US3128000",231.6949398
"Little Rock","AR","1600000US0541000",311.7138632
"Long Beach","CA","1600000US0643000",132.2795274
"Los Angeles","CA","1600000US0644000",1220.570241
"Lowell","MA","1600000US2537000",37.35730357
"Lubbock","TX","1600000US4845000",319.3883615
"Madison","WI","1600000US5548000",242.0814949
"Manchester","NH","1600000US3345140",89.9886331
"McAllen","TX","1600000US4845384",130.6570861
"McKinney","TX","1600000US4845744",162.747393
"Memphis","TN","1600000US4748000",833.9589304
"Mesa","AZ","1600000US0446000",354.4996744
"Mesquite","TX","1600000US4847892",119.6904331
"Miami","FL","1600000US1245000",98.59266107
"Miami Gardens","FL","1600000US1245060",51.21362072
"Midland","TX","1600000US4848072",187.8003787
"Milwaukee","WI","1600000US5553000",249.1183971
"Minneapolis","MN","1600000US2743000",148.8212961
"Miramar","FL","1600000US1245975",84.23802095
"Mobile","AL","1600000US0150000",383.0673975
"Modesto","CA","1600000US0648354",95.08053857
"Montgomery","AL","1600000US0151000",420.4054525
"Moreno Valley","CA","1600000US0649270",132.9140263
"Murfreesboro","TN","1600000US4751560",142.5914194
"Murrieta","CA","1600000US0650076",86.88907722
"Naperville","IL","1600000US1751622",100.9556467
"New Haven","CT","1600000US0952000",49.40241277
"New Orleans","LA","1600000US2255000",915.3687456
"New York","NY","1600000US3651000",767.3702463
"Newark","NJ","1600000US3451000",62.48893683
"Newport News","VA","1600000US5156000",179.1846805
"Norfolk","VA","1600000US5157000",150.6129509
"Norman","OK","1600000US4052500",487.3987356
"North Las Vegas","NV","1600000US3251800",260.3450955
"Norwalk","CA","1600000US0652526",25.16740244
"Oakland","CA","1600000US0653000",143.732178
"Oceanside","CA","1600000US0653322",108.8479804
"Oklahoma City","OK","1600000US4055000",1596.643638
"Olathe","KS","1600000US2052575",154.7756284
"Omaha","NE","1600000US3137000",334.9971522
"Ontario","CA","1600000US0653896",129.0766522
"Orange","CA","1600000US0653980",65.1964741
"Orlando","FL","1600000US1253000",292.9870361
"Overland Park","KS","1600000US2053775",193.0893694
"Oxnard","CA","1600000US0654652",70.14245785
"Palm Bay","FL","1600000US1254000",175.1779549
"Palmdale","CA","1600000US0655156",273.7407163
"Pasadena (CA)","CA","1600000US0656000",59.67821995
"Pasadena (TX)","TX","1600000US4856000",116.3238847
"Paterson","NJ","1600000US3457000",22.32126526
"Pembroke Pines","FL","1600000US1255775",93.72217097
"Peoria (AZ)","AZ","1600000US0454050",459.739197
"Peoria (IL)","IL","1600000US1759000",128.7791308
"Philadelphia","PA","1600000US4260000",360.7872574
"Phoenix","AZ","1600000US0455000",1338.884493
"Pittsburgh","PA","1600000US4261000",149.5315465
"Plano","TX","1600000US4858016",186.2990977
"Pomona","CA","1600000US0658072",59.26957406
"Ponce","PR","1600000US7263820",133.0500244
"Port St. Lucie","FL","1600000US1258715",307.3812471
"Portland (ME)","ME","1600000US2360545",55.83800619
"Portland (OR)","OR","1600000US4159000",376.5683483
"Providence","RI","1600000US4459000",48.25560886
"Provo","UT","1600000US4962470",113.2068453
"Pueblo","CO","1600000US0862000",135.7739244
"Raleigh","NC","1600000US3755000",370.0718424
"Rancho Cucamonga","CA","1600000US0659451",102.8881465
"Reno","NV","1600000US3260600",271.2484484
"Richmond (CA)","CA","1600000US0660620",75.9217552
"Richmond (VA)","VA","1600000US5167000",160.1300287
"Riverside","CA","1600000US0662000",210.2906412
"Rochester (MN)","MN","1600000US2754880",141.3209327
"Rochester (NY)","NY","1600000US3663000",94.74241391
"Rockford","IL","1600000US1765000",159.1986368
"Roseville","CA","1600000US0662938",92.79800654
"Sacramento","CA","1600000US0664000",256.4703563
"Salem","OR","1600000US4164900",125.4251308
"Salinas","CA","1600000US0664224",59.57928337
"Salt Lake City","UT","1600000US4967000",286.4758717
"San Antonio","TX","1600000US4865000",1228.322367
"San Bernardino","CA","1600000US0665000",153.9119692
"San Buenaventura","CA","1600000US0665042",56.27485334
"San Diego","CA","1600000US0666000",852.3934877
"San Francisco","CA","1600000US0667000",120.8854161
"San Jose","CA","1600000US0668000",457.4232474
"San Juan","PR","1600000US7276770",134.2250347
"Santa Ana","CA","1600000US0669000",71.09568807
"Santa Clara","CA","1600000US0669084",47.19743045
"Santa Clarita","CA","1600000US0669088",136.0947944
"Santa Rosa","CA","1600000US0670098",106.3240751
"Savannah","GA","1600000US1369000",282.432827
"Scottsdale","AZ","1600000US0465000",476.4808699
"Seattle","WA","1600000US5363000",261.1275535
"Shreveport","LA","1600000US2270000",313.568505
"Simi Valley","CA","1600000US0672016",108.97626
"Sioux Falls","SD","1600000US4659020",189.3877517
"South Bend","IN","1600000US1871000",107.4962445
"Spokane","WA","1600000US5367000",157.410288
"Springfield (IL)","IL","1600000US1772000",168.4950343
"Springfield (MA)","MA","1600000US2567000",84.96514573
"Springfield (MO)","MO","1600000US2970000",211.0879778
"St. Louis","MO","1600000US2965000",169.1740865
"St. Paul","MN","1600000US2758000",145.4703571
"St. Petersburg","FL","1600000US1263000",169.9425565
"Stamford","CT","1600000US0973000",98.48952119
"Sterling Heights","MI","1600000US2676460",94.62499614
"Stockton","CA","1600000US0675000",165.9434636
"Sunnyvale","CA","1600000US0677000",56.32889588
"Surprise","AZ","1600000US0471510",273.5754223
"Syracuse","NY","1600000US3673000",65.92162233
"Tacoma","WA","1600000US5370000",130.6350786
"Tallahassee","FL","1600000US1270600",270.8727268
"Tampa","FL","1600000US1271000",313.552094
"Temecula","CA","1600000US0678120",77.99937276
"Tempe","AZ","1600000US0473000",103.955525
"Thornton","CO","1600000US0877290",92.1179644
"Thousand Oaks","CA","1600000US0678582",142.370623
"Toledo","OH","1600000US3977000",215.0760641
"Topeka","KS","1600000US2071000",157.4617626
"Torrance","CA","1600000US0680000",53.08546961
"Tucson","AZ","1600000US0477000",589.9013476
"Tulsa","OK","1600000US4075000",516.2397778
"Vallejo","CA","1600000US0681666",88.2331459
"Vancouver","WA","1600000US5374060",129.4503639
"Victorville","CA","1600000US0682590",190.0793573
"Virginia Beach","VA","1600000US5182000",673.8245426
"Visalia","CA","1600000US0682954",93.11701176
"Waco","TX","1600000US4876000",263.7701541
"Warren","MI","1600000US2684000",88.5885913
"Washington","DC","1600000US1150000",159.4759268
"Waterbury","CT","1600000US0980000",74.28319376
"West Covina","CA","1600000US0684200",41.52812577
"West Jordan","UT","1600000US4982950",83.20611041
"West Palm Beach","FL","1600000US1276600",151.3547765
"West Valley City","UT","1600000US4983470",91.29440647
"Westminster","CO","1600000US0883835",86.73192898
"Wichita","KS","1600000US2079000",419.3398388
"Wichita Falls","TX","1600000US4879000",186.3438912
"Wilmington (DE)","DE","1600000US1077580",30.38634788
"Wilmington (NC)","NC","1600000US3774440",133.6824165
"Winston-Salem","NC","1600000US3775000",343.4127184
"Worcester","MA","1600000US2582000",98.82393986
"Yonkers","NY","1600000US3684000",47.2697776
