"city","state","geo.id","min_temp_prob","precipitation_prob","max_temp_prob","drought_prob"
"Fort Collins","CO","1600000US0827425",0.051913,0,0.15301,0.632977598
"Fort Lauderdale","FL","1600000US1224000",0,0.0027322,0.14208,0.300532361
"Fort Wayne","IN","1600000US1825000",0.019126,0,0.15301,0.5
"Fort Worth","TX","1600000US4827000",0.030055,0,0.057377,0.655141814
"Fremont","CA","1600000US0626000",0.021858,0.010929,0.032787,0.566488073
"Fresno","CA","1600000US0627000",0.04918,0,0.035519,0.5
"Frisco","TX","1600000US4827684",0.032787,0,0.065574,0.655141814
"Fullerton","CA","1600000US0628000",0.032787,0.0027322,0.035519,0.455673369
"Gainesville","FL","1600000US1225175",0.0054645,0.0054645,0.098361,0.322693513
"Garden Grove","CA","1600000US0629000",0.032787,0.0027322,0.032787,0.5
"Garland","TX","1600000US4829000",0.032787,0,0.054645,0.655141814
"Glendale (AZ)","AZ","1600000US0427820",0.040984,0.0054645,0.076503,0.588652473
"Glendale (CA)","CA","1600000US0630000",0.043716,0.0027322,0.030055,0.477837004
"Grand Prairie","TX","1600000US4830464",0.032787,0,0.040984,0.588652473
"Grand Rapids","MI","1600000US2634000",0,0.0027322,0.16667,0.522162996
"Green Bay","WI","1600000US5531000",0.0054645,0,0.12568,0.367022402
"Greensboro","NC","1600000US3728000",0.0054645,0,0.07377,0.655141814
"Gresham","OR","1600000US4131250",0.060109,0,0.035519,0.632977598
"Hampton","VA","1600000US5135000",0,0,0.079235,0.344858186
"Hartford","CT","1600000US0937000",0.0054645,0,0.10656,0.5
"Hayward","CA","1600000US0633000",0.019126,0.010929,0.016393,0.433511927
"Henderson","NV","1600000US3231900",0.046448,0,0.087432,0.765957989
"Hialeah","FL","1600000US1230000",0,0,0.12022,0.234042011
"High Point","NC","1600000US3731400",0.0054645,0,0.084699,0.721629806
"Hollywood","FL","1600000US1232000",0,0.0027322,0.14481,0.477837004
"Honolulu","HI","1600000US1571550",,,,
"Houston","TX","1600000US4835000",0.016393,0.0054645,0.062842,0.433511927
"Huntington Beach","CA","1600000US0636000",0.030055,0.0027322,0.051913,0.455673369
"Huntsville","AL","1600000US0137000",0.0081967,0,0.10383,0.411347527
"Independence","MO","1600000US2935000",0.04918,0.0027322,0.12842,0.566488073
"Indianapolis","IN","1600000US1836003",0.019126,0,0.18852,0.477837004
"Inglewood","CA","1600000US0636546",0.030055,0.0027322,0.051913,0.477837004
"Irvine","CA","1600000US0636770",0.035519,0.0027322,0.032787,0.477837004
"Irving","TX","1600000US4837000",0.032787,0,0.07377,0.677306487
"Jackson","MS","1600000US2836000",0.0081967,0,0.12022,0.455673369
"Jacksonville","FL","1600000US1235000",0.0054645,0,0.092896,0.411347527
"Jersey City","NJ","1600000US3436000",0.0054645,0,0.07377,0.699467639
"Joliet","IL","1600000US1738570",0.013661,0.0027322,0.13388,0.411347527
"Kansas City (KS)","KS","1600000US2036000",0.04918,0.0027322,0.13388,0.477837004
"Kansas City (MO)","MO","1600000US2938000",0.046448,0.0027322,0.13661,0.477837004
"Kent","WA","1600000US5335415",0.038251,0,0.02459,0.367022402
"Killeen","TX","1600000US4839148",0.027322,0.0054645,0.021858,0.632977598
"Knoxville","TN","1600000US4740000",0.0081967,0,0.10383,0.632977598
"Lafayette","LA","1600000US2240735",0.0081967,0,0.10383,0.610817364
"Lakewood","CO","1600000US0843000",0.051913,0,0.14208,0.632977598
"Lancaster","CA","1600000US0640130",0.043716,0.0027322,0.046448,0.433511927
"Lansing","MI","1600000US2646000",0,0.0054645,0.16393,0.677306487
"Laredo","TX","1600000US4841464",0.04918,0.0027322,0.07377,0.677306487
"Las Vegas","NV","1600000US3240000",0.043716,0,0.10929,0.544326631
"Lexington-Fayette","KY","1600000US2146027",0.016393,0,0.14208,0.522162996
"Lincoln","NE","1600000US3128000",0.060109,0.0027322,0.060109,0.788121425
"Little Rock","AR","1600000US0541000",0.019126,0,0.1612,0.544326631
"Long Beach","CA","1600000US0643000",0.030055,0.0027322,0.051913,0.455673369
"Los Angeles","CA","1600000US0644000",0.038251,0.0027322,0.030055,0.477837004
"Lowell","MA","1600000US2537000",0.0054645,0,0.062842,0.632977598
"Lubbock","TX","1600000US4845000",0.062842,0,0.079235,0.477837004
"Madison","WI","1600000US5548000",0,0.0081967,0.11202,0.367022402
"Manchester","NH","1600000US3345140",0.0054645,0,0.062842,0.765957989
"McAllen","TX","1600000US4845384",0.04918,0.0027322,0.065574,0.522162996
"McKinney","TX","1600000US4845744",0.032787,0,0.090164,0.5
"Memphis","TN","1600000US4748000",0.016393,0,0.15574,0.610817364
"Mesa","AZ","1600000US0446000",0.040984,0.0027322,0.081967,0.367022402
"Mesquite","TX","1600000US4847892",0.021858,0,0.051913,0.655141814
"Miami","FL","1600000US1245000",0,0,0.12568,0.433511927
"Miami Gardens","FL","1600000US1245060",0,0,0.13661,0.367022402
"Midland","TX","1600000US4848072",0.046448,0.010929,0.071038,0.610817364
"Milwaukee","WI","1600000US5553000",0,0.0027322,0.11202,0.322693513
"Minneapolis","MN","1600000US2743000",0.0054645,0,0.10383,0.522162996
"Miramar","FL","1600000US1245975",0,0,0.10109,0.455673369
"Mobile","AL","1600000US0150000",0.0081967,0,0.098361,0.389182636
"Modesto","CA","1600000US0648354",0.02459,0.010929,0.032787,0.477837004
"Montgomery","AL","1600000US0151000",0.0027322,0,0.087432,0.544326631
"Moreno Valley","CA","1600000US0649270",0.035519,0.0027322,0.035519,0.477837004
"Murfreesboro","TN","1600000US4751560",0.0081967,0,0.15847,0.5
"Murrieta","CA","1600000US0650076",0.038251,0.0027322,0.02459,0.5
"Naperville","IL","1600000US1751622",0.013661,0.0027322,0.13115,0.367022402
"New Haven","CT","1600000US0952000",0.0054645,0,0.087432,0.655141814
"New Orleans","LA","1600000US2255000",0.0054645,0.0027322,0.098361,0.477837004
"New York","NY","1600000US3651000",0.0054645,0,0.07377,0.522162996
"Newark","NJ","1600000US3451000",0.0054645,0,0.07377,0.477837004
"Newport News","VA","1600000US5156000",0,0,0.081967,0.234042011
"Norfolk","VA","1600000US5157000",0,0,0.084699,0.367022402
"Norman","OK","1600000US4052500",0.040984,0,0.076503,0.411347527
"North Las Vegas","NV","1600000US3251800",0.040984,0,0.098361,0.522162996
"Norwalk","CA","1600000US0652526",0.035519,0.0027322,0.027322,0.632977598
"Oakland","CA","1600000US0653000",0.019126,0.0027322,0.032787,0.721629806
"Oceanside","CA","1600000US0653322",0.030055,0.0081967,0.035519,0.588652473
"Oklahoma City","OK","1600000US4055000",0.04918,0,0.087432,0.522162996
"Olathe","KS","1600000US2052575",0.04918,0.0027322,0.13115,0.677306487
"Omaha","NE","1600000US3137000",0.04918,0,0.07377,0.788121425
"Ontario","CA","1600000US0653896",0.035519,0,0.032787,0.588652473
"Orange","CA","1600000US0653980",0.038251,0.0027322,0.030055,0.411347527
"Orlando","FL","1600000US1253000",0,0.010929,0.10656,0.477837004
"Overland Park","KS","1600000US2053775",0.04918,0.0027322,0.13115,0.522162996
"Oxnard","CA","1600000US0654652",0.040984,0.0027322,0.0081967,0.367022402
"Palm Bay","FL","1600000US1254000",0,0,0.15301,0.411347527
"Palmdale","CA","1600000US0655156",0.043716,0.0027322,0.046448,0.477837004
"Pasadena (CA)","CA","1600000US0656000",0.043716,0.0027322,0.030055,0.477837004
"Pasadena (TX)","TX","1600000US4856000",0.0081967,0,0.062842,0.655141814
"Paterson","NJ","1600000US3457000",0.0081967,0,0.087432,0.477837004
"Pembroke Pines","FL","1600000US1255775",0,0,0.12568,0.411347527
"Peoria (AZ)","AZ","1600000US0454050",0.040984,0.0054645,0.079235,0.322693513
"Peoria (IL)","IL","1600000US1759000",0.019126,0.0027322,0.15027,0.699467639
"Philadelphia","PA","1600000US4260000",0.010929,0,0.04918,0.699467639
"Phoenix","AZ","1600000US0455000",0.038251,0.0054645,0.081967,0.544326631
"Pittsburgh","PA","1600000US4261000",0.0081967,0,0.14754,0.655141814
"Plano","TX","1600000US4858016",0.032787,0,0.071038,0.477837004
"Pomona","CA","1600000US0658072",0.035519,0.0027322,0.027322,0.477837004
"Ponce","PR","1600000US7263820",,,,
"Port St. Lucie","FL","1600000US1258715",0,0.0054645,0.15847,0.300532361
"Portland (ME)","ME","1600000US2360545",0.0054645,0,0.12568,0.544326631
"Portland (OR)","OR","1600000US4159000",0.060109,0,0.038251,0.5
"Providence","RI","1600000US4459000",0.0081967,0,0.071038,0.610817364
"Provo","UT","1600000US4962470",0.0081967,0,0.095628,0.588652473
"Pueblo","CO","1600000US0862000",0.062842,0,0.11749,0.477837004
"Raleigh","NC","1600000US3755000",0.0027322,0,0.10109,0.632977598
"Rancho Cucamonga","CA","1600000US0659451",0.038251,0,0.032787,0.655141814
"Reno","NV","1600000US3260600",0.038251,0,0.10656,0.610817364
"Richmond (CA)","CA","1600000US0660620",0.019126,0.0027322,0.027322,0.367022402
"Richmond (VA)","VA","1600000US5167000",0,0,0.068306,0.234042011
"Riverside","CA","1600000US0662000",0.038251,0.0027322,0.030055,0.367022402
"Rochester (MN)","MN","1600000US2754880",0.013661,0,0.10929,0.522162996
"Rochester (NY)","NY","1600000US3663000",0,0,0.11202,0.765957989
"Rockford","IL","1600000US1765000",0,0.0081967,0.13934,0.544326631
"Roseville","CA","1600000US0662938",0.043716,0.0081967,0.038251,0.367022402
"Sacramento","CA","1600000US0664000",0.040984,0.0081967,0.040984,0.566488073
"Salem","OR","1600000US4164900",0.043716,0,0.038251,0.522162996
"Salinas","CA","1600000US0664224",0.02459,0.010929,0.021858,0.477837004
"Salt Lake City","UT","1600000US4967000",0.0054645,0,0.12295,0.455673369
"San Antonio","TX","1600000US4865000",0.043716,0.0054645,0.030055,0.566488073
"San Bernardino","CA","1600000US0665000",0.035519,0.0027322,0.051913,0.477837004
"San Buenaventura","CA","1600000US0665042",0.040984,0.0027322,0.0081967,0.477837004
"San Diego","CA","1600000US0666000",0.035519,0.0081967,0.021858,0.632977598
"San Francisco","CA","1600000US0667000",0.019126,0.0027322,0.060109,0.632977598
"San Jose","CA","1600000US0668000",0.021858,0.010929,0.027322,0.632977598
"San Juan","PR","1600000US7276770",,,,
"Santa Ana","CA","1600000US0669000",0.035519,0.0027322,0.035519,0.699467639
"Santa Clara","CA","1600000US0669084",0.021858,0.010929,0.027322,0.5
"Santa Clarita","CA","1600000US0669088",0.040984,0.0027322,0.032787,0.699467639
"Santa Rosa","CA","1600000US0670098",0.019126,0.0027322,0.02459,0.677306487
"Savannah","GA","1600000US1369000",0.0027322,0,0.12295,0.411347527
"Scottsdale","AZ","1600000US0465000",0.040984,0.0027322,0.084699,0.544326631
"Seattle","WA","1600000US5363000",0.027322,0,0.02459,0.411347527
"Shreveport","LA","1600000US2270000",0.016393,0,0.092896,0.477837004
"Simi Valley","CA","1600000US0672016",0.027322,0.0027322,0.02459,0.477837004
"Sioux Falls","SD","1600000US4659020",0.030055,0,0.054645,0.544326631
"South Bend","IN","1600000US1871000",0.013661,0.0054645,0.15301,0.632977598
"Spokane","WA","1600000US5367000",0.032787,0,0.035519,0.278370194
"Springfield (IL)","IL","1600000US1772000",0.021858,0.0054645,0.13388,0.477837004
"Springfield (MA)","MA","1600000US2567000",0.0054645,0,0.11202,0.566488073
"Springfield (MO)","MO","1600000US2970000",0.02459,0,0.12295,0.788121425
"St. Louis","MO","1600000US2965000",0.019126,0,0.12295,0.477837004
"St. Paul","MN","1600000US2758000",0.0054645,0,0.10383,0.566488073
"St. Petersburg","FL","1600000US1263000",0.0054645,0.013661,0.15574,0.411347527
"Stamford","CT","1600000US0973000",0.0054645,0,0.07377,0.655141814
"Sterling Heights","MI","1600000US2676460",0,0.0054645,0.14754,0.5
"Stockton","CA","1600000US0675000",0.043716,0.0081967,0.035519,0.655141814
"Sunnyvale","CA","1600000US0677000",0.019126,0.010929,0.016393,0.588652473
"Surprise","AZ","1600000US0471510",0.046448,0.010929,0.087432,0.544326631
"Syracuse","NY","1600000US3673000",0,0,0.12295,0.544326631
"Tacoma","WA","1600000US5370000",0.046448,0,0.010929,0.322693513
"Tallahassee","FL","1600000US1270600",0.0027322,0,0.087432,0.389182636
"Tampa","FL","1600000US1271000",0.0027322,0.0054645,0.10383,0.322693513
"Temecula","CA","1600000US0678120",0.035519,0.0027322,0.032787,0.5
"Tempe","AZ","1600000US0473000",0.038251,0.0027322,0.081967,0.455673369
"Thornton","CO","1600000US0877290",0.051913,0,0.12568,0.477837004
"Thousand Oaks","CA","1600000US0678582",0.021858,0.0027322,0.016393,0.5
"Toledo","OH","1600000US3977000",0.016393,0,0.18033,0.632977598
"Topeka","KS","1600000US2071000",0.04918,0,0.087432,0.655141814
"Torrance","CA","1600000US0680000",0.030055,0.0027322,0.057377,0.477837004
"Tucson","AZ","1600000US0477000",0.043716,0.0081967,0.10929,0.788121425
"Tulsa","OK","1600000US4075000",0.027322,0,0.098361,0.544326631
"Vallejo","CA","1600000US0681666",0.021858,0.0027322,0.027322,0.5
"Vancouver","WA","1600000US5374060",0.060109,0,0.035519,0.322693513
"Victorville","CA","1600000US0682590",0.043716,0.0027322,0.057377,0.566488073
"Virginia Beach","VA","1600000US5182000",0,0,0.10929,0.300532361
"Visalia","CA","1600000US0682954",0.04918,0.0027322,0.038251,0.655141814
"Waco","TX","1600000US4876000",0.027322,0.0027322,0.019126,0.477837004
"Warren","MI","1600000US2684000",0,0.0054645,0.14754,0.566488073
"Washington","DC","1600000US1150000",0.010929,0,0.079235,0.455673369
"Waterbury","CT","1600000US0980000",0.0054645,0,0.081967,0.566488073
"West Covina","CA","1600000US0684200",0.035519,0.0027322,0.032787,0.699467639
"West Jordan","UT","1600000US4982950",0.0054645,0,0.12295,0.522162996
"West Palm Beach","FL","1600000US1276600",0,0,0.13934,0.455673369
"West Valley City","UT","1600000US4983470",0.0054645,0,0.12295,0.411347527
"Westminster","CO","1600000US0883835",0.051913,0,0.12568,0.566488073
"Wichita","KS","1600000US2079000",0.04918,0.0081967,0.079235,0.588652473
"Wichita Falls","TX","1600000US4879000",0.057377,0,0.081967,0.522162996
"Wilmington (DE)","DE","1600000US1077580",0.010929,0,0.046448,0.566488073
"Wilmington (NC)","NC","1600000US3774440",0,0,0.11202,0.566488073
"Winston-Salem","NC","1600000US3775000",0.0054645,0,0.079235,0.367022402
"Worcester","MA","1600000US2582000",0.010929,0,0.079235,0.566488073
"Yonkers","NY","1600000US3684000",0.0054645,0,0.057377,0.477837004
